Date,Open,High,Low,Close,Adj Close,Volume
2020-01-08,291.500000,297.380005,290.040009,295.899994,287.072754,3379200
2020-01-09,294.290009,297.200012,293.720001,294.220001,285.442871,2838200
2020-01-10,296.070007,296.070007,292.209991,295.130005,286.325775,2477900
2020-01-13,294.369995,294.450012,285.019989,285.850006,277.322601,6994900
2020-01-14,285.600006,288.239990,284.250000,288.239990,279.641266,6056300
2020-01-15,289.019989,299.640015,289.000000,296.410004,287.567535,6081300
2020-01-16,298.000000,300.989990,295.929993,300.739990,291.768372,3710300
2020-01-17,300.010010,300.700012,295.880005,298.470001,289.566132,4632200
2020-01-21,296.890015,302.540009,296.010010,300.529999,291.564667,4962800
2020-01-22,301.989990,302.130005,297.350006,300.589996,291.622803,3117600
2020-01-23,300.010010,300.579987,296.649994,299.459991,290.526520,3169600
2020-01-24,298.339996,299.929993,291.559998,292.809998,284.074921,3678500
2020-01-27,288.000000,288.079987,280.070007,284.089996,275.615082,4399400
2020-01-28,283.910004,288.369995,283.299988,285.869995,277.342010,4341000
2020-01-29,284.000000,286.190002,280.890015,282.899994,274.460602,3963800
2020-01-30,281.839996,281.839996,275.920013,280.980011,272.597839,4211800
2020-01-31,278.170013,278.779999,271.179993,272.450012,264.322327,5532600
2020-02-03,275.130005,276.850006,270.820007,274.019989,265.845428,5646800
2020-02-04,277.279999,283.500000,276.880005,280.839996,272.462067,4290200
2020-02-05,285.600006,297.000000,285.440002,295.730011,286.907867,5761000
2020-02-06,297.000000,297.269989,290.000000,292.459991,283.735352,3044000
2020-02-07,292.869995,293.390015,288.910004,289.220001,280.592041,3425900
2020-02-10,286.230011,289.290009,285.450012,287.029999,278.467346,3147400
2020-02-11,286.850006,291.570007,285.899994,290.790009,282.115265,2992200
2020-02-12,295.000000,305.000000,294.010010,303.480011,294.426697,6701900
2020-02-13,300.140015,305.899994,300.140015,302.200012,293.184875,3565500
2020-02-14,302.209991,303.970001,297.309998,298.779999,289.866791,2485600
2020-02-18,299.670013,303.350006,299.000000,302.140015,293.126617,3241700
2020-02-19,303.369995,306.709991,302.730011,305.309998,296.202026,3021100
2020-02-20,303.200012,304.160004,297.890015,302.130005,293.116882,2885500
2020-02-21,300.470001,302.510010,298.609985,301.429993,292.437805,2987100
2020-02-24,286.890015,288.989990,277.640015,277.790009,269.502991,8790600
2020-02-25,280.149994,281.980011,262.010010,263.390015,255.532639,8171200
2020-02-26,264.720001,269.829987,258.709991,263.000000,255.154236,6806600
2020-02-27,258.420013,262.149994,252.070007,253.919998,246.345093,7604300
2020-02-28,246.199997,257.100006,245.300003,254.960007,247.354080,9961000
2020-03-02,257.339996,273.239990,250.320007,273.109985,264.962646,8866300
2020-03-03,275.350006,280.350006,259.230011,261.399994,253.601974,9188100
2020-03-04,290.000000,295.839996,282.209991,289.420013,280.786102,14533000
2020-03-05,281.600006,289.420013,279.940002,282.959991,274.518799,5908400
2020-03-06,275.420013,284.970001,271.899994,283.869995,275.401642,5361900
2020-03-09,264.459991,281.440002,259.239990,273.440002,265.282806,8070700
2020-03-10,279.720001,283.899994,272.500000,280.000000,271.647064,7366000
2020-03-11,274.760010,285.239990,273.260010,277.779999,269.493317,7744600
2020-03-12,260.000000,272.230011,250.000000,250.410004,242.939819,10496600
2020-03-13,260.989990,273.220001,242.270004,272.040009,265.067780,9308400
2020-03-16,243.919998,245.679993,223.949997,225.039993,219.272354,10303500
2020-03-17,230.820007,248.759995,228.289993,244.220001,237.960800,9642200
2020-03-18,225.750000,231.449997,200.190002,217.059998,211.496872,12917500
2020-03-19,216.979996,226.119995,208.940002,219.800003,214.166656,8065200
2020-03-20,223.179993,232.639999,203.460007,206.589996,201.295212,9364100
2020-03-23,202.039993,205.750000,187.720001,194.860001,189.865845,10654500
2020-03-24,202.139999,220.270004,199.000000,219.800003,214.166656,8894400
2020-03-25,219.089996,247.509995,216.000000,234.490005,228.480179,10014000
2020-03-26,234.029999,257.959991,232.300003,255.389999,248.844498,7517600
2020-03-27,242.940002,251.600006,238.240005,242.449997,236.236130,4879500
2020-03-30,242.639999,254.089996,242.639999,251.279999,244.839828,5329000
2020-03-31,243.479996,254.529999,243.000000,249.380005,242.988541,5450000
